OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comments,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,ZipCode,Latitude,Longitude,Address,City,State
1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,659000030,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,Hotel,Hotel,88434.0,,,,,,65.0,78.9,80.3,173.5,175.1,6981428.0,7097539.0,2023032.0,1080307.0,3686160.0,12724.0,1272388.0,0.0,249.43,2.64,No,,Compliant,,,14.0,,31.0,98101,47.61219025,-122.33799744,405 OLIVE WAY,SEATTLE,WA
2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,659000220,7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,51.0,94.4,99.0,191.3,195.2,8354235.0,8765788.0,0.0,1144563.0,3905411.0,44490.0,4448985.0,0.0,263.51,2.38,No,,Compliant,,,14.0,,31.0,98101,47.61310583,-122.33335756,724 PINE ST,SEATTLE,WA
3,2015,NonResidential,Hotel,WESTIN HOTEL,659000475,7,DOWNTOWN,1969,1.0,41.0,961990,0,961990,"Hotel, Parking, Swimming Pool",Hotel,757243.0,Parking,100000.0,Swimming Pool,0.0,,18.0,96.6,99.7,242.7,246.5,73130656.0,75506272.0,19660404.0,14583930.0,49762435.0,37099.0,3709900.0,0.0,2061.48,1.92,Yes,,Compliant,,,56.0,,31.0,98101,47.61334897,-122.33769944,1900 5TH AVE,SEATTLE,WA
5,2015,NonResidential,Hotel,HOTEL MAX,659000640,7,DOWNTOWN,1926,1.0,10.0,61320,0,61320,Hotel,Hotel,61320.0,,,,,,1.0,460.4,462.5,636.3,643.2,28229320.0,28363444.0,23458518.0,811521.0,2769023.0,20019.0,2001894.0,0.0,1936.34,31.38,No,,Compliant,High Outlier,,56.0,,31.0,98101,47.61421585,-122.33660889,620 STEWART ST,SEATTLE,WA
8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,659000970,7,DOWNTOWN,1980,1.0,18.0,119890,12460,107430,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,67.0,120.1,122.1,228.8,227.1,14829099.0,15078243.0,0.0,1777841.0,6066245.0,87631.0,8763105.0,0.0,507.7,4.02,No,,Compliant,,,56.0,,31.0,98121,47.6137544,-122.3409238,401 LENORA ST,SEATTLE,WA
9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),660000560,7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,Police Station,Police Station,88830.0,,,,,,,135.7,146.9,313.5,321.6,12051984.0,13045258.0,0.0,2130921.0,7271004.0,47813.0,4781283.0,0.0,304.62,2.81,No,,Compliant,,,56.0,,7.0,98101,47.6164389,-122.33676431,810 VIRGINIA ST,SEATTLE,WA
10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,660000825,7,DOWNTOWN,1926,1.0,11.0,83008,0,83008,Hotel,Hotel,81352.0,,,,,,25.0,76.9,79.6,149.5,158.2,6252842.0,6477493.0,0.0,785342.0,2679698.0,35733.0,3573255.0,0.0,208.46,2.37,No,,Compliant,,,14.0,,31.0,98101,47.6141141,-122.33274086,1619 9TH AVE,SEATTLE,WA
11,2015,NonResidential,Other,PARAMOUNT THEATER,660000955,7,DOWNTOWN,1926,1.0,8.0,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,62.5,71.8,152.2,160.4,6426022.0,7380086.0,2003108.0,1203937.0,4108004.0,3151.0,315079.0,0.0,199.99,1.77,No,,Compliant,,,14.0,,31.0,98101,47.61290234,-122.33130949,901 PINE ST,SEATTLE,WA
12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,939000080,7,DOWNTOWN,1904,1.0,15.0,163984,0,163984,Hotel,Hotel,163984.0,,,,,,46.0,77.0,82.9,174.6,186.8,12633744.0,13589025.0,0.0,2155728.0,7355649.0,52784.0,5278400.0,0.0,331.61,1.83,No,,Compliant,,,14.0,,19.0,98104,47.60258934,-122.33255325,612 2ND AVE,SEATTLE,WA
13,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,939000105,7,DOWNTOWN,1910,1.0,6.0,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,,,,,,2.0,81.7,92.7,178.1,190.8,4587231.0,5203458.0,1483476.0,694593.0,2370050.0,7338.0,733803.0,0.0,170.0,2.51,No,,Compliant,,,14.0,,19.0,98104,47.60278416,-122.33214887,607 3RD AVE,SEATTLE,WA
15,2015,NonResidential,Hotel,HOTEL MONACO,942000145,7,DOWNTOWN,1969,1.0,11.0,153163,19279,133884,,,,,,,,,48.0,101.1,107.2,200.8,205.2,14719853.0,15615929.0,3623542.0,1857347.0,6337531.0,47590.0,4759044.0,0.0,576.63,3.59,No,,Compliant,,,14.0,,19.0,98101,47.60712147,-122.33431932,1101 4TH AVE,SEATTLE,WA
16,2015,NonResidential,Hotel,W SEATTLE HOTEL,942000165,7,DOWNTOWN,1998,1.0,25.0,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,32.0,82.3,83.1,207.2,208.0,27717026.0,27970822.0,5426396.0,5585560.0,19058722.0,32327.0,3232700.0,0.0,723.4,1.93,No,,Compliant,,,14.0,,19.0,98101,47.60718204,-122.33347215,1112 4TH AVE,SEATTLE,WA
17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,942000210,7,DOWNTOWN,1928,1.0,9.0,65009,0,65009,Hotel,Hotel,65009.0,,,,,,39.0,104.7,96.8,166.5,158.2,6807227.0,6292213.0,1987163.0,473326.0,1615057.0,32051.0,3205074.0,0.0,334.87,5.04,No,,Compliant,,,14.0,,19.0,98104,47.60709939,-122.33310536,400 SPRING ST,SEATTLE,WA
18,2015,NonResidential,Hotel,CROWNE PLAZA,942000235,7,DOWNTOWN,1980,1.0,33.0,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,56.0,77.2,77.2,183.2,183.2,22811690.0,22811690.0,4731090.0,4129637.0,14090906.0,39903.0,3990280.0,0.0,675.34,1.95,Yes,,Compliant,,,14.0,,19.0,98101,47.60809326,-122.33211517,1113 6TH AVE,SEATTLE,WA
